fp_year nHe2 vHe2 C6to5 O7to6 avqC avqO avqFe FetoO 
BEGIN DATA
2001.00000274     0.156   294.000     0.609     0.354     5.200     6.260    10.000     0.030
2001.00023014     0.150   294.000 -9999.900 -9999.900     4.840 -9999.900     9.210     0.068
2001.00045753     0.132   288.000 -9999.900     0.309 -9999.900     6.240     9.390     0.054
2001.00068767     0.168   286.000 -9999.900 -9999.900 -9999.900 -9999.900     9.830     0.084
2001.00091507     0.181   288.000     0.622     0.315     5.380     6.240     8.950     0.097
2001.00114247     0.192   288.000     0.957     0.219     5.490     6.180     9.910     0.083
2001.00137260     0.333   287.000     1.670     0.251     5.390     6.200     8.990     0.107
2001.00160000     0.396   282.000     0.990     0.288     5.410     6.290     9.040     0.127
2001.00182740     0.306   282.000     2.310     0.258     5.480     6.250     8.870     0.128
2001.00205753     0.447   287.000     1.890     0.190     5.380     6.200     9.610     0.210
2001.00228493     0.301   291.000     0.559     0.243     5.160     6.170     9.390     0.158
2001.00251233     0.436   289.000     0.711     0.227     5.170     6.150     9.230     0.194
2001.00274247     0.512   283.000     1.200     0.246     5.320     6.200     8.850     0.195
2001.00296986     0.572   285.000     0.908     0.302     5.230     6.230     9.170     0.161
2001.00319726     0.889   280.000     1.350     0.255     5.330     6.190     9.260     0.145
2001.00342740     1.180   276.000     1.240     0.280     5.320     6.190     9.660     0.160
2001.00365479     1.300   280.000     1.380     0.256     5.360     6.160     9.850     0.122
2001.00388493     1.010   276.000     1.290     0.187     5.320     6.120     9.760     0.121
2001.00411233     1.710   288.000     1.290     0.295     5.330     6.250     9.520     0.119
2001.00433973     1.580   290.000     1.390     0.274     5.290     6.190     9.760     0.099
2001.00456986     1.550   299.000     1.200     0.309     5.330     6.220     9.630     0.107
2001.00479726     1.630   303.000     1.010     0.332     5.270     6.220     9.780     0.120
2001.00502466     0.819   317.000     0.703     0.291     5.180     6.220     9.580     0.216
2001.00525479     0.523   331.000     0.218     0.237     4.870     6.170    10.400     0.228
2001.00548219     0.309   332.000     0.076     0.249     4.840     6.170    11.700     0.132
2001.00570959     0.250   347.000     0.492     0.282     5.140     6.220    10.700     0.132
2001.00593973     0.489   359.000     1.530     0.332     5.360     6.330    11.700     0.075
2001.00616712     0.139   378.000     1.340     0.224     5.160     6.350     9.280     0.117
2001.00639452     0.092   377.000     0.865     0.218     5.040     6.310     9.140     0.126
2001.00662466     0.188   368.000     1.160     0.204     5.210     6.290     9.860     0.112
2001.00685205     0.268   359.000     2.020     0.402     5.290     6.430     9.530     0.080
2001.00707945     0.135   372.000     1.800     0.365     5.360     6.430     9.800     0.059
2001.00730959     0.115   379.000     1.730     0.344     5.380     6.520     9.630     0.105
2001.00753699     0.120   371.000     2.170     0.440     5.510     6.550    10.600     0.056
2001.00776438     0.128   369.000     2.780     0.382     5.580     6.480    10.700     0.037
2001.00799452     0.100   379.000     2.430     0.372     5.570     6.370     9.620     0.024
2001.00822192     0.173   410.000     2.160     0.476     5.580     6.480    10.000     0.057
2001.00844932     0.137   403.000     2.540     0.457     5.560     6.410     8.810     0.050
2001.00867945     0.479   386.000     3.280     0.635     5.550     6.480    11.000     0.022
2001.00890685     0.720   385.000     2.440     0.479     5.500     6.370    10.400     0.058
2001.00913425     0.344   412.000     1.610     0.429     5.370     6.320    10.500     0.070
2001.00936438     0.184   419.000     1.560     0.355     5.330     6.320    10.800     0.090
2001.00959178     0.251   435.000     1.320     0.373     5.360     6.290    10.800     0.057
